species,city,mass_g,wing_length_mm,tail_length_mm,bill_length_mm,sex
silvereye,Auckland,12,59,43,9.9,female
sparrow,Dunedin,22,77,59,12.4,male
bellbird,Dunedin,26,79,73,13.9,male
sparrow,Dunedin,28,79.5,62,11.9,female
sparrow,Auckland,28.5,79.5,54,14.4,female
sparrow,Auckland,29,79,57,11.9,female
sparrow,Auckland,24.5,77,53,11.8,male
sparrow,Auckland,27,79,79,10.9,female
sparrow,Auckland,29,81,56,12.4,male
sparrow,Auckland,28,77,57,11.8,female
sparrow,Auckland,31,76,56,12.9,male
sparrow,Auckland,26,72,52,12.5,female
sparrow,Auckland,29,76,54,12.3,female
sparrow,Dunedin,30.5,74,48,10.8,female
sparrow,Dunedin,26,73,52,13.6,male
sparrow,Dunedin,26,73,47,11.9,male
sparrow,Auckland,22,81,58,11.5,female
sparrow,Auckland,24,73,55,11.8,female
sparrow,Auckland,28,79,59,11.3,male
sparrow,Auckland,22,78,54,12,female
sparrow,Auckland,27,80,61,14,male
silvereye,Dunedin,9.5,63,51,10.4,female
silvereye,Dunedin,12.5,63,47,11.1,male
silvereye,Dunedin,10.5,64,49,10.4,female
silvereye,Dunedin,11.5,62,43,10.5,female
silvereye,Dunedin,13,61,46,9.8,female
silvereye,Dunedin,12,63,46,9.2,male
silvereye,Auckland,13,61,46,9.3,male
silvereye,Auckland,11,60,46,9.1,female
silvereye,Auckland,13,61,45,10.4,male
silvereye,Auckland,12,62,49,9.7,female
silvereye,Auckland,11.5,60,47,9.6,female
silvereye,Auckland,12,62,48,10.2,male
silvereye,Auckland,11.5,59,46,10.6,male
silvereye,Auckland,14.5,59,47,10.4,female
silvereye,Auckland,12,60,45,10,male
silvereye,Auckland,11.5,59,47,10.1,female
silvereye,Auckland,11.5,59,44,9.8,female
silvereye,Auckland,11,60,48,10.5,male
silvereye,Auckland,12.5,62,48,10.6,female
silvereye,Auckland,11,63,46,13.6,female
silvereye,Auckland,10.5,61,44,10.7,female
silvereye,Auckland,11.5,63,47,10.7,male
silvereye,Auckland,13,62,47,10.5,male
silvereye,Auckland,13.5,60.5,47,8.8,male
silvereye,Auckland,12.5,65.5,46,10.6,male
silvereye,Auckland,12.5,57,44,8.5,female
silvereye,Auckland,13.5,62,45,9.6,female
silvereye,Auckland,13,61,49,10.7,male
silvereye,Auckland,12.5,60,44,9.5,female
silvereye,Dunedin,12,65,49,10.4,female
silvereye,Dunedin,12,62,51,10.6,male
silvereye,Dunedin,14,67,47,10.7,female
silvereye,Dunedin,10.5,66,51,10.2,female
silvereye,Dunedin,13,59,44.5,9.5,female
silvereye,Dunedin,12,59,48,10.5,male
silvereye,Dunedin,12.5,61,47,10.4,male
silvereye,Dunedin,9,58,46,9.3,male
tui,Auckland,121,156,116,26.5,female
tui,Dunedin,147,153,126,27.9,female
tui,Dunedin,133,158,127,27.2,male
tui,Auckland,142.5,159,120,23.5,male
silvereye,Auckland,11,63,46,10.7,female
silvereye,Dunedin,12,64,49,10.1,female
silvereye,Dunedin,12,63,48,11.6,male
silvereye,Dunedin,13,64,48,10.2,female
silvereye,Dunedin,12,61,48,11.2,male
silvereye,Dunedin,12.5,64,51,10.7,female
silvereye,Dunedin,12,64,51,10.7,male
silvereye,Dunedin,13.5,62,46,11.1,female
silvereye,Dunedin,11.5,64,47,10.8,female
silvereye,Dunedin,12,65,49,10.8,female
silvereye,Dunedin,12,62,49,10.7,female
silvereye,Dunedin,11.5,63,48,10.4,male
silvereye,Dunedin,13.5,64,49,11,male
bellbird,Dunedin,32,93,90,14.9,female
bellbird,Dunedin,33,91,79,15,male
tui,Auckland,112,138,112,25.8,female
tui,Auckland,93,137,119,24.2,female
tui,Dunedin,88,129,102,24.4,male
